#time[ms], position x[m], position y[m], accuracy[m], floor[i], type_id
1489503229041,83.57361068797238,81.89645163804974,5,0,0
1489503230030,82.61220842223749,82.29227419978614,5,0,0
1489503231143,83.04806545959833,77.36670976856328,5,0,0
1489503232198,84.22115719828632,63.21442528705845,5,0,0
1489503233259,84.8066257527381,62.76615389728516,5,0,0
1489503234317,85.15183373521884,62.49014123485098,5,0,0
1489503234701,85.36417466996507,62.34713152514711,5,0,0
1489503235836,85.63991911888499,63.17629127462974,3,0,0
1489503236864,85.56779051665538,62.38750643817692,3,0,0
1489503237874,87.69298922527969,64.13138655102368,3,0,0
1489503238882,86.85178817049558,65.01248662246539,5,0,0
1489503239880,88.525622894306,67.83937670652949,5,0,0
1489503240874,89.76191443779589,66.94954139539556,5,0,0
1489503242007,89.18602280778239,65.85628823796741,5,0,0
1489503242667,90.5715529763484,69.32739110997083,5,0,0
1489503243064,90.5715529763484,69.32739110997085,5,0,0
1489503244067,90.5715529763484,69.32739110997085,5,0,0
1489503245043,90.08279146013803,72.41263647631867,5,0,0
1489503246374,90.00697107972115,72.71210284984423,3,0,0
1489503247448,91.63025581041478,68.00664733556918,3,0,0
1489503248531,90.69310615808214,67.19458840174048,5,0,0
1489503249599,90.80700285824774,66.38982879532824,3,0,0
1489503250717,92.43901850146902,68.30501333589508,5,0,0
1489503251735,92.91522544199904,69.82450957029756,5,0,0
1489503252760,93.0933876717063,70.41880994489533,3,0,0
1489503253156,93.60063036411681,71.32165283259519,3,0,0
1489503254344,96.02624583875877,73.68469202284392,5,0,0
1489503255390,95.77205427175778,73.34744045719947,3,0,0
1489503256474,95.71795618838087,73.92967953665779,5,0,0
1489503257527,96.0975421658999,75.49359821034734,5,0,0
1489503258623,96.4687717270817,76.40778080044193,5,0,0
1489503259581,96.86868152887848,77.07913866728462,3,0,0
1489503260606,96.73921959847297,77.86644697377839,3,0,0
1489503261690,97.98828822210265,78.53843706682881,5,0,0
1489503262724,97.93101241561888,79.56628103554334,3,0,0
1489503263794,97.7868493593469,81.47774402286464,5,0,0
1489503264809,97.84319493202611,81.57865139462798,5,0,0
1489503265826,97.47126824478801,81.49590448998224,3,0,0
1489503266864,98.44361726192199,81.31025939782378,5,0,0
1489503267976,101.6199839015837,81.512983373148,5,0,0
1489503268978,103.5401654007005,81.54583333747972,5,0,0
1489503269959,104.5189735449469,81.1302208259993,5,0,0
1489503270488,106.603764940786,81.21627157528572,5,0,0
1489503271574,108.0350384689823,82.37600298915225,5,0,0
1489503272289,108.4696394217176,82.65093221513773,5,0,0
1489503273011,109.349839265822,82.5963516310396,5,0,0
1489503274035,110.166738508921,83.17505313808333,3,0,0
1489503275058,110.350141050422,83.5836788013598,3,0,0
1489503276091,109.5464758379366,83.96467140262983,3,0,0
1489503277119,110.4767577408628,82.44597357049462,5,0,0
1489503278104,111.7876145655125,82.91558860743567,5,0,0
1489503279178,117.3592649970837,83.33287487742984,5,0,0
1489503280247,119.086712991687,83.09352129617649,5,0,0
1489503281296,120.0886566205104,83.98131228172366,5,0,0
1489503282340,120.5190781393872,83.88588403566139,3,0,0
1489503283396,119.9933689812432,83.70593491281849,5,0,0
1489503284481,119.5934770900908,83.33224520687807,3,0,0
1489503285614,119.6933888266203,83.83981496938894,3,0,0
1489503286622,120.254342356711,83.97188380669681,5,0,0
1489503286998,120.5507334266809,83.95870787299623,3,0,0
1489503288115,120.2549793493464,83.64945055326751,3,0,0
1489503289066,120.6038026103404,84.01302809938282,3,0,0
1489503290130,120.8745318913664,84.83127373549704,3,0,0
1489503291262,120.876731509742,85.62744922905483,3,0,0
1489503292316,120.8698411365712,89.57040520855485,3,0,0
1489503293336,121.3035291306144,89.85737547923495,3,0,0
1489503294636,122.1435576121276,89.4717925805535,3,0,0
1489503295747,122.7884452186037,88.88632443353386,5,0,0
1489503296735,123.3312065937056,88.85475889660285,5,0,0
1489503297803,124.2099782278168,89.69075032439157,5,0,0
1489503298550,124.3772941387142,91.40428515179757,3,0,0
1489503299288,124.5053897732525,93.6432202402523,3,0,0
1489503300319,125.8243546288999,94.44529256335474,5,0,0
1489503301342,125.6378028232756,94.29351517082708,5,0,0
1489503302321,126.24964818865,94.76425898330056,3,0,0
1489503303344,128.987139699166,95.64153077502151,5,0,0
1489503304340,130.8297401703452,96.10027105035695,5,0,0
1489503305357,130.666777290691,97.09623301057388,5,0,0
1489503306363,132.3867820507542,98.10154214668142,5,0,0
1489503307412,133.4304824360744,98.33122516128086,5,0,0
1489503308437,134.0110468161474,98.41476495380647,5,0,0
1489503309439,134.1383430498938,98.25813813362771,5,0,0
1489503310044,134.2197569904773,98.52755890969658,5,0,0
1489503311064,133.0401124221794,98.23551479703762,5,0,0
1489503312083,132.2741654338682,97.8768940701608,5,0,0
1489503312883,131.3687590540104,97.1717697914072,5,0,0
1489503313888,130.6028157312982,97.04257102842485,5,0,0
1489503314913,129.8726664454021,96.39906926211246,5,0,0
1489503315941,129.7147042907559,96.47131786015996,5,0,0
1489503316972,129.6429939319025,96.38472142228308,5,0,0
1489503317990,130.4295091002251,96.99021895329898,5,0,0
1489503318999,129.6557996300157,96.82639331480384,5,0,0
1489503320032,128.0532242303799,97.12387061466283,5,0,0
1489503321025,129.311867437655,97.07126753823158,5,0,0
1489503322062,130.1841243852724,98.04265667875299,5,0,0
1489503323051,129.1026803836574,97.56319908583345,5,0,0
1489503324099,126.6713867599925,96.51181433562397,5,0,0
1489503325113,128.0497451662349,94.91232100333697,5,0,0
1489503326133,127.4814658458976,95.19501071749127,5,0,0
1489503327147,125.9531424296991,94.58033480390404,5,0,0
1489503328171,124.7294876894585,93.46773332313018,5,0,0
#time[ms], position x[m], position y[m], accuracy[m], floor[i], type_id
1489504879027,58.2234032533116,78.19619338097431,5,-1,0
1489504880063,58.2234032533116,78.19619338097431,3,-1,0
1489504880617,64.8442930048883,75.2148270560468,3,0,0
1489504881274,65.24132737780232,76.28328991812231,5,0,0
1489504882464,65.24819976990584,75.55266715910841,5,0,0
1489504883557,65.6966879577523,72.66464074451713,5,0,0
1489504884630,65.5527157535054,70.78466949783622,5,0,0
1489504885732,65.57596110008048,69.46737012443006,3,0,0
1489504886723,66.57330084898784,69.63687746291566,3,0,0
1489504887768,67.65145151956231,69.01683724552926,3,0,0
1489504888700,67.63234673481449,68.58430316876174,3,0,0
1489504889744,68.04048684389919,68.49794436456045,3,0,0
1489504890801,68.46485629428048,68.03048336985594,3,0,0
1489504891878,68.38383124956501,67.95314890693167,3,0,0
1489504892966,69.43871056232855,67.05540806500633,5,0,0
1489504894045,69.57111584763024,66.50228323473183,3,0,0
1489504895389,70.30807967956839,65.62252195347327,3,0,0
1489504896400,70.67960230342007,65.30254239189605,5,0,0
1489504897407,70.31338036637891,65.14100375753699,3,0,0
1489504898366,71.08829003011076,64.37072845821329,3,0,0
1489504899330,72.41085757609443,64.15308402870487,5,0,0
1489504900415,73.29562134413823,63.86560036219811,5,0,0
1489504901706,73.87285166908489,63.69681815634146,3,0,0
1489504902192,74.49590716757031,63.47219449735507,5,0,0
1489504903209,75.08235727195073,63.12312411321137,5,0,0
1489504904253,75.11861997972635,62.35715763961355,5,0,0
1489504905319,76.35387378673026,62.05881657478852,5,0,0
1489504906419,77.1113543945476,61.79258503374238,5,0,0
1489504907433,79.08454157325522,61.72287524872529,5,0,0
1489504908416,81.44128740964176,62.02440933986526,5,0,0
1489504909556,81.05461613603491,61.99887973442154,3,0,0
1489504910628,80.65083563063034,61.61098225067501,3,0,0
1489504911683,80.1434547538625,61.49513528522525,3,0,0
1489504912696,80.97128718520742,61.08247603409065,3,0,0
1489504913707,80.91577129142854,60.8833117508434,5,0,0
1489504914741,81.94510820932661,60.82707344908561,5,0,0
1489504915769,87.18478661271868,63.76687636589033,3,0,0
1489504916797,86.08167401716825,63.86112998062197,3,0,0
1489504917782,85.65676976702923,63.67199823143836,5,0,0
1489504918928,86.96488366412494,66.21716891830434,5,0,0
1489504919934,85.13936424909566,64.16237638443542,5,0,0
1489504920566,86.24761267054848,65.39139586608428,5,0,0
1489504921515,86.79480008418905,66.00612586004357,5,0,0
1489504922616,88.36122227847497,64.37882108621262,5,0,0
1489504923633,87.92495823034807,63.5994789154411,5,0,0
1489504924618,87.62565825627392,63.20648225735019,5,0,0
1489504925725,88.02919800450562,62.58535632142211,3,0,0
1489504926694,88.39912595440991,62.31051685660536,5,0,0
1489504927788,87.89987797565935,61.81438813618479,3,0,0
1489504928884,88.30257515163088,61.96908632884561,3,0,0
1489504929954,88.01830581609072,61.89036133840167,3,0,0
1489504931049,88.39758201912031,61.89057532574017,5,0,0
1489504932156,88.40553098292231,62.26187478474995,5,0,0
