#time[ms], position x[m], position y[m], accuracy[m], floor[i], type_id
1493210656112,97.958,42.359,0,0,0
1493210676259,86.708,61.061,0,0,0
1493210689517,72.02200000000001,63.629,0,0,0
1493210702135,61.64,69.96000000000001,0,0,0
1493210726151,53.718,79.871,0,0,0
1493210745522,34.473,95.245,0,-1,0
1493210801706,55.02,83.86799999999999,0,-1,0
1493210818607,62.833,71.949,0,0,0
1493210824191,67.247,70.41200000000001,0,0,0
1493210834752,69.755,83.36,0,0,0
1493210839310,73.72500000000001,87.533,0,0,0
1493210850401,82.783,90.621,0,0,0
1493210858018,91.02800000000001,87.465,0,0,0
1493210865953,95.947,85.43000000000001,0,0,0
1493210913666,95.947,85.43000000000001,0,0,0
1493210924692,105.108,85.328,0,0,0
1493210928579,104.769,80.069,0,0,0
1493210936187,95.77800000000001,78.81400000000001,0,0,0
1493210947159,94.96300000000001,69.619,0,0,0
1493210960405,80.273,59.441,0,0,0
1493210979767,63.207,66.227,0,0,0
1493211011084,63.207,66.227,0,0,0
1493211021824,66.294,81.426,0,0,0
1493211031068,55.336,81.358,0,0,0
1493211051197,62.461,75.387,0,1,0
1493211067986,79.15300000000001,64.05500000000001,0,1,0
1493211081805,91.53700000000001,67.38,0,1,0
1493211097354,100.901,79.56,0,1,0
1493211101461,107.517,79.866,0,1,0
1493211119217,129.739,80.646,0,1,0
1493211128896,132.114,67.652,0,1,0
1493211144434,131.639,50.111,0,1,0
1493211154928,122.92,41.866,0,1,0
1493211175284,94.69200000000001,44.513,0,1,0
