#time[ms], position x[m], position y[m], accuracy[m], floor[i], type_id
1489505689490,91.83465001346134,80.60169803185839,3,-1,0
1489505690575,90.81095353511452,81.03292273559651,3,-1,0
1489505691637,89.48885711895427,80.93494433437701,3,-1,0
1489505692804,89.10900000000001,80.9582817855501,5,-1,0
1489505693782,87.20998030119729,80.46419512501892,3,-1,0
1489505694890,88.14446794497631,80.86372769767306,5,-1,0
1489505695949,89.70846664129084,80.60143438164391,3,-1,0
1489505697028,91.68323337230004,75.79607045390723,3,-1,0
1489505698103,91.99519412171921,74.52118244557798,3,-1,0
1489505699107,92.37458191834062,74.59146626719559,5,-1,0
1489505700141,92.30891647395153,73.60010128226634,5,-1,0
1489505701191,92.44175144114068,73.2326133470912,5,-1,0
1489505702260,91.99321268121936,74.68124057300068,5,-1,0
1489505703326,92.32449135167626,74.37713896681151,5,-1,0
1489505704407,91.83091452334887,72.25302934124224,5,-1,0
1489505705427,89.89223614636127,71.21738772053415,5,-1,0
1489505706396,90.26787780111471,72.23404295167414,5,-1,0
1489505707443,91.00277765100049,72.48028305114532,5,-1,0
1489505708547,91.03337744680726,71.89799112509195,5,-1,0
1489505709575,89.96051118745203,71.17547893186648,3,-1,0
1489505710532,85.53682349769892,65.03072643969172,5,-1,0
1489505711231,84.83533036907038,62.99248535785823,5,-1,0
1489505712455,86.00018165098419,64.55617134638877,5,-1,0
1489505713383,91.71142224673858,69.90140056493351,5,-1,0
1489505714556,92.38096075582743,70.50622432238242,5,-1,0
1489505715596,92.72359491730727,70.82897405330348,3,-1,0
1489505716657,92.5597072526526,71.06641585311931,5,-1,0
1489505717701,91.09382883904925,71.65407871221474,3,-1,0
1489505718672,89.95007923155535,72.9206970651593,5,-1,0
1489505719769,88.77554973975552,73.7895497397555,5,-1,0
1489505720905,82.56684109879723,75.97611419432553,5,-1,0
1489505721873,81.93863647834463,76.17954693425149,5,-1,0
1489505722986,81.61914737209008,76.30548089196022,5,-1,0
1489505723979,81.46810862684525,76.37059316711229,5,-1,0
1489505725118,81.46721297251771,76.38763203381231,5,-1,0
1489505726142,81.52384018082455,76.38332437259396,5,-1,0
